post_id,date,username,body,num_likes,location,joined,points,mean_word_length
124227808,"May 31, 2023",Brian Watkins,I'm in Oahu for all of June with my wife hoping to find some partners as my wife doesn't love climbing. I'm hoping to get quite a lot of time in at Moke wall? Only brought sport gear but will follow your trad if you wanna do that instead. Hit me up 970-388-2632 if you're interested. ,0,"Greeley, CO",Jan 2021,Points: 15,4.071428571428571
124271846,"May 26, 2023",Trevor Zwolenski,I’ll be in Maui for three weeks specifically for the deep water soloing. If anyone wants to join that would be cool!,1,Seattle WA,May 2023,Points: 0,4.318181818181818
124076031,"Apr 23, 2023",Zach Weaver,If anyone wantss to go throw down on it I'm free everyday! I'll be here for about a month so I got time and I have two pads. Let me know and let's make some plans!,0,Unknown Hometown,Nov 2019,Points: 55,3.5555555555555554
123942652,"Mar 30, 2023",Paul F,"My girlfriend and I are heading out Oahu on the 27th, and we are hoping to climb mokule'ia wall. I plan on bringing my rope/ sport gear.",0,Turlock,Jan 2022,Points: 0,4.074074074074074
123942652,"Apr 20, 2023",Matthew Enos,I’d be down to climb on 4/30. I don’t arrive until 10:30am but could meet you for an afternoon/evening session. ,0,"Portland, OR",Aug 2014,Points: 20,4.6
123942652,"Apr 20, 2023",Paul F,"I’m sorry, we are both leaving back home on 4/30 at 12:30pm, otherwise that would have been perfect.",0,Turlock,Jan 2022,Points: 0,4.611111111111111
123942652,"Apr 23, 2023",Zach Weaver,I'm trying to climb the arch here if you're interested! ,0,Unknown Hometown,Nov 2019,Points: 55,4.6
123890858,"Mar 19, 2023",Thao Chi Ken,"Hello everyone,I am traveling to Oahu from Thursday March 30th to Tuesday April 4th. I plan on visiting Oahu Bouldering and Hiclimb on Thursday and Saturday. I'll finish off my trip with going to Waimea Bay on Monday. This would be my first time climbing outdoors so I would love company for safety reasons. Would love to connect with local climbers!",1,"San Francisco, CA",Mar 2023,Points: 0,4.754098360655738
119632924,"Sep 27, 2020",Lindsy Martin,"Aloha,I will be relocating to Kauai for work in December for a couple years. Haven't been climbing much this year but learned some while living in Moab, UT. Unfortunately, I don't have any gear besides harness, biners and basic stuff. I might pick some Stuff up before shipping over if there are good prospects for community. Seeking rappelling and climbing partners/friends during my time on the island.I absolutely love all things water and land so having a buddy to do all the things with would be bitchin'linds",0,Unknown Hometown,Oct 2018,Points: 0,4.919540229885057
119632924,"Jan 16, 2023",Charline Pysher,Hey! If you are still in Kauai and want to get together and climb let me know. Idk if you have picked up any rope yet? I can bring some gear. Shoot me a text or call if you will be around 1/29-2/4. My cell is 413-231-7878. ,0,Unknown Hometown,Oct 2022,Points: 0,3.74468085106383
123649565,"Jan 12, 2023",Nolan Smotherman,"What’s up you guys, I’ll be on Oahu from January 28th-feb 9th and I really want to do some climbing. I just started recently and I’m hooked after my trip to Joshua tree. If anyone would like to go climb, hike, surf, anything. I would be totally down. My number is (916) 472-8839, shoot me a text. I’m psyched",0,Rocklin,Jan 2023,Points: 0,4.237288135593221
123625486,"Jan 4, 2023",Andrew Serrano,I’ll be heading to Hawaii/ Oahu Jan23rd-30 with my girlfriend. We are looking for some new friends or locals to link up with and climb. Or any info on crags/ guide books or access issues. We plan on bringing our rope and sport draws. Any info will be appreciated. Thanks. ,0,"San Diego, CA",Oct 2021,Points: 0,4.44
123613692,"Dec 31, 2022",Greg Phrank,"Aloha,I'm going to be on Hawaii from the 4-13th and want to climb. I've heard mixed things about accessibility and safety at the climbing spots listed on here. Anyone have any beta? And anyone want to meet up and climb? Message me if you're interested!Mahalo,Greg ",2,"Issaquah, WA",Jan 2020,Points: 22,4.866666666666666
123613692,"Dec 31, 2022",Frank Stein,"Hi Greg. I’ve climbed a bit in HI, but not in a long time. A good friend of mine is one of the earlier developers on Oahu and is responsible for bringing Ti hardware to the state. This is what I know…There is pretty good climbing on Oahu and Maui, and there is some hard to find mediocre limestone on Kawaii. As for the Big Island, there is DWS at Southpoint. I saw it, and it looked terrifying. Think deep, open ocean with currents. ",3,"Albuquerque, NM",Feb 2012,Points: 190,4.166666666666667
123613692,"Jan 1, 2023",SenorDB,"The two best bets for climbing on your trip are Pi'ikea Gulch and South Point. Pi'ikea is chill bouldering with mostly good gravel landings and short TRs. South Point is also good for DWS and has less intense swimming conditions than End of The World (most of the time this place feels like a ride inside the washing machine).There's also countless amazing other things to do and see on the Big island that don't involve climbing and can only be experience here. For example, parking at the Koai'a Tree Sanctuary, a neat place to check out, and walk up the dirt road on the east side of the sanctuary to the Kohala Forest Reserve- a spectacular otherworldly experience once inside. Although it feels like you might run into a Velociraptor at any moment, there's only a bunch of pig and hunter trails that go deep into the forest. No climbing but it would be easy to get turned around and lost inside if not paying attention. Also, a likely place to have that intrepid pig encounter! But for my money I'd put ALL of my effort on that short trip into poking lava with a stick first. Just sayin.",6,Old Pueblo,Apr 2012,"Points: 8,070",4.492462311557789
123613692,"Jan 3, 2023",Greg Phrank,"Thanks for the comments and further recommendations. I come to the Big Island about twice a year, but I'm always looking for new places to explore (tend to get a bit stuck in my usual spots)! Really appreciate both the climbing and non-climbing thoughts. ",2,"Issaquah, WA",Jan 2020,Points: 22,4.795454545454546
123527260,"Dec 3, 2022",Bob Smith,"I'd like to contact Lauren Poulson about https://overgripping.wordpress.com/2019/12/06/__trashed/She's way over thinking it. More than enough info from google, just drive there and start climbing. That's what I did 14 years ago. I gave up climbing a few years ago but we still hit Plenty Kiawe several times per year. Her lack of respect for Hawaiian culture and bull rush attitude don't work in Hawaii. We don't want an internet bullseye attracting massive disrespectful tourists to the islands treasures. Take the time to listen to locals and find out who's willing to share information, move on from those that aren't. You have to earn the respect of many locals, and you don't get that by demanding information over the internet. I've lived in a lot of places (including Seattle, SF, NYC) and nowhere comes close to the aloha spirit here, but you need to work by Hawaiian protocol, not big city protocol.",3,Unknown Hometown,Dec 2022,Points: 0,5.0198675496688745
123527260,"Dec 3, 2022",Climb On,There’s an MP user with that name. Try a DM and see if it’s her. ,2,Everywhere,Jan 2016,Points: 0,3.3333333333333335
123527260,"Dec 4, 2022",Ruben Flores,"I think this sentence sums it up:“I am not going to pretend that I am knowledgeable about all of the various access issues that affect climbing access and development on Maui, and, unfortunately, this information was not/has not been made readily available for the broader climbing community.”",2,"Dillon, CO",May 2019,Points: 7,5.25531914893617
123527260,"Dec 5, 2022",Bob Smith,"I dm'd her, I'd like to keep it private",0,Unknown Hometown,Dec 2022,Points: 0,3.4444444444444446
123527260,"Dec 5, 2022",Lauren Poulson,"Hey - I wrote about my personal experience for my blog several years ago, before I was even really on Mountain Project. I was not trying to attack anyone in any way; I was merely using my experience trying to find information on it as an example of something that made me curious about climbing access more generally, both in Hawaii and in small communities across the country. I tried to make it very clear that that was my purpose - and I quote, ""I write about this, instead, to raise my own questions and concerns about how local climbing groups can respond most reasonably, sustainably, and equitably to the challenges that lie before them.""I'd also just like to note that I don't think I could have created an Internet bullseye, even if I had wanted to (which, again, was not the purpose at all) - the blog has 15 followers, mostly my family (who are not even climbers). I would be very happy to discuss privately, but it doesn't seem like that is really the intention if you've taken to posting my name here, saying I'm disrespecting local culture without first talking to me. I am extremely open to constructive criticism and discussions about how I can do better, but taking to posting my name on a public forum just doesn't feel like the most conducive manner of reaching out.",19,Southern Oregon,Jun 2020,Points: 0,4.567099567099567
123527260,"Dec 5, 2022",Bob Smith,Mahalo for your response Lauren Poulson >  but it doesn't seem like that is really the intention Wrong againLet's continue on my DM to you,1,Unknown Hometown,Dec 2022,Points: 0,4.52
123527260,"Dec 5, 2022",Climb On,If this is a private conversation then keep it private but don’t continue to call her out in public. ,9,Everywhere,Jan 2016,Points: 0,4.315789473684211
123527260,"Dec 5, 2022",ryan climbs,climbing in Hawaii is so fun ,4,MT,Oct 2022,Points: 72,3.8333333333333335
123527260,"Dec 6, 2022",SenorDB,"Popping in and out of the islands will get one the standard tourist experience. If a person doesn't want to be treated like a tourist then it's important not to act like one. To get to know the islands, people, and aloha takes time and some immersion but is well worth the investment.",2,Old Pueblo,Apr 2012,"Points: 8,070",4.377358490566038
123527260,"Dec 6, 2022",Benton Hodges,"For anyone interested in more, the RunOut Podcast #88 has Jeff Jackson on it where he discusses access and climbing in Hawaii.",3,"Jackson, WY",Jul 2018,Points: 559,4.7727272727272725
123527260,"Dec 6, 2022",Big Red,"Damn dude, joining MP to call someone out on their personal blog post from 3 years ago... savage. Maybe you're a detective but I'm amazed you dug up so much drama from between the 20 lines of her post.",9,Seattle,Apr 2013,Points: 937,4.17948717948718
123527260,"Dec 9, 2022",Bob Smith,"Lauren Poulson    wrote:Hey - I wrote about my personal experience for my blog several years ago, before I was even really on Mountain Project. I was not trying to attack anyone in any way; I was merely using my experience trying to find information on it as an example of something that made me curious about climbing access more generally, both in Hawaii and in small communities across the country. I tried to make it very clear that that was my purpose - and I quote, ""I write about this, instead, to raise my own questions and concerns about how local climbing groups can respond most reasonably, sustainably, and equitably to the challenges that lie before them.""I'd also just like to note that I don't think I could have created an Internet bullseye, even if I had wanted to (which, again, was not the purpose at all) - the blog has 15 followers, mostly my family (who are not even climbers). I would be very happy to discuss privately, but it doesn't seem like that is really the intention if you've taken to posting my name here, saying I'm disrespecting local culture without first talking to me. I am extremely open to constructive criticism and discussions about how I can do better, but taking to posting my name on a public forum just doesn't feel like the most conducive manner of reaching out.> trying to find information And I'm offering information. I DM'd you 4 days ago, you replied 4 days ago to this thread but haven't replied to my DM/> just doesn't feel like the most conducive manner of reaching out. DM is he most conducive manner , you didn't leave me any alternatives, how else could I contact you?Big Red    wrote:Damn dude, joining MP to call someone out on their personal blog post from 3 years ago... savage. Maybe you're a detective but I'm amazed you dug up so much drama from between the 20 lines of her post.I'm trying to contact her. You too obviously don't understand Hawaiian culture. I'm trying to explain her many errors in the blog.I'll post my DM I sent LP here in a couple days if I don't hear back from her.",1,Unknown Hometown,Dec 2022,Points: 0,4.532432432432432
123527260,"Dec 10, 2022",Climb On,"Bob Smith    wrote: > trying to find information And I'm offering information. I DM'd you 4 days ago, you replied 4 days ago to this thread but haven't replied to my DM/Dude leave her alone. If she wanted to communicate with you she would. ",11,Everywhere,Jan 2016,Points: 0,4.386363636363637
123527260,"Dec 12, 2022",Big Red,Bob Smith    wrote: I'm trying to contact her. You too obviously don't understand Hawaiian culture. I'm trying to explain her many errors in the blog.Is it part of Hawaiian culture to be persistently self-righteous?,8,Seattle,Apr 2013,Points: 937,5.264705882352941
123235279,"Oct 12, 2022",James M,"Yo! In Maui for a week, have shoes, harness chalkbag and a handful of draws (no rope), what I could stuff in a carry-on. Would be stoked to get out and get after it a bit! 11s and 12s preferred but will climb with anyone as long as they can belay half decently. (908937 sixty six eleven) send me a text",0,"Colorado Springs, CO",Sep 2017,Points: 65,3.9672131147540983
123182554,"Oct 5, 2022",Keenan Barr,"Hi there,I am going to be in Honolulu visiting family 10/19-10/26 and am looking for folks to sport climb at Mokule'ia one or two times while I am in town. I am hoping to try the 5.12s there. I won’t have a rope, but can bring draws! Let me know if you are interested!Thanks,Keenan ",0,Seattle,Oct 2022,Points: 0,4.222222222222222
122743227,"Jul 16, 2022",Arie B,"Hi there,I will am currently staying in Honolulu for the next few days and would love to meet up with people to do some climbing on the island.",2,San Diego,Aug 2018,Points: 0,4.142857142857143
122464177,"May 27, 2022",RACE TUOMISTO-BELL,"Made a group chat for some of the climbers here! Drop in, drop out, trying to get more outings going! https://chat.whatsapp.com/DiKNPjh6vot2j37buDK6zb-Race",0,"Phoenix, AZ",May 2019,Points: 10,6.428571428571429
122439199,"May 22, 2022",B Leigh,"Celebrating 1 year in business today. Big Island Climbing is the only commercial gym on the Big Island.Small, friendly, locals gym where you can get your climb on while vacationing.",3,"Hilo, HI",Jan 2019,Points: 5,5.066666666666666
122439199,"May 23, 2022",SenorDB,"Big Island Climbing is an excellent small gym where the emphasis is geared towards new-moderate climbers and the mom & pop vibe shines through. Also, New Chiang Mai Thai next door is one of the best Thai restaurants on the island and Kalakaua Park next to that makes it easy to go outside for a ""Safety Meeting"" between sessions.",0,Old Pueblo,Apr 2012,"Points: 8,070",4.593220338983051
122439199,"May 26, 2022",B Leigh,Thank you SenorDB - we are doing our best to build an awesome climbing community here. We will be adding more V7s and above as the skills of our local climbers is rapidly increasing. We are currently looking for partners ($) to build a full sized gym capable of hosting international tournaments here in Hilo. ,1,"Hilo, HI",Jan 2019,Points: 5,4.636363636363637
122439199,"May 26, 2022",Glowering,Congratulations! The big island is amazing but missing climable rock so this is great. My brother owned a gym for a while. He made more money off of ancillary stuff than memberships. So birthday parties and maybe a juice bar may help bring in some more income if you’re not already doing them. ,1,Unknown Hometown,Oct 2011,Points: 16,4.547169811320755
122388466,"May 13, 2022",Jackie Niles,"Hello there!My boyfriend and I are professionals (41-year-old college math teacher and 30-year-old environmental consultant), who have been living out of our built-out van for the last five years in pursuit of early retirement. We have simultaneously taken on pet/ house sitting gigs, FREE of charge. These opportunities provide us with 'creature comforts' (showers, spaces to telework from, etc) and in return alleviate financial stress on your end. Since this has been very successful in Colorado we wanted to expand our offering to places we have yet to travel together to- Thus, Hawaii! To be clear, this would provide us with a taste of a new city/ state/ culture and place to stay. It would not be treated as a vacation. Experience;We have had a myriad of pets throughout our lives and have pet-sat for a host of friends (whether it be long or short term). I am also a trail runner, should you have a doggo that needs to be run. :) In addition, we would be happy to take care of plants, retrieve mail, and ensure your home is as clean as you left it (bedding will be washed, floors swept, etc).About Us;We are introverts who enjoy lots of quiet time as well as partaking in outdoor activities (rock climbing, running, biking, etc). We will happily honor any house rules you may have, and will treat your home respectfully. We would be happy to meet in-person for your departure and arrival, or simply leave your keys in a secure location and communicate via text (the latter is often easier as traveling can be a little stressful).References;Happy to provide references upon request as well as to meet via zoom and/or in-person prior to commitment to ensure both parties are comfortable with the arrangement. We are currently booked for the Month of June and a good portion of July, as well as the month of October and November 19-December 1. That being said the Christmas/ NYE timeframe is 100% available as well as early next year 2023. Let me know your needs and we can chat! Start/ End Dates, Preferences;As we both telework and have few responsibilities of our own, our start and end dates are very flexible. Regarding duration, 1-3 weeks is preferred (as we will have to take some time off work and buy plane tickets). All arrangements would be ""live-in"". Please feel welcome to reach out with any questions you might have, and/or relay your needs. We can be very accommodating. :)Thank you for considering!Jackie Jackie.k.niles@gmail.com",1,Unknown Hometown,May 2022,Points: 0,4.84964200477327
122159747,"Mar 31, 2022",Kamea Black,"Aloha, I’m Kamea!I just moved back home to Hawaii after being gone for half a year sending in Joshua Tree and Bishop! Looking for some bouldering partners (I have three crash pads) and also some sport & trad partners (if you have the gear). Sending low to mid grades at the moment. My number is (808) 971-1180 shoootsss",0,"Haleiwa, HI",Feb 2022,Points: 0,4.517241379310345
122118971,"Mar 23, 2022",RACE TUOMISTO-BELL,"Living on island in Wahiawa and always looking for new climbers, I’d also love to establish some new routes if anyone is up for that challenge. I’m available most days of the week excluding Mondays and Tuesdays if anyone wants to climb let me know! -Race $6025778035$ ",0,"Phoenix, AZ",May 2019,Points: 10,4.702127659574468
121613040,"Nov 10, 2021",Corey Wademan,"Aloha all, I'll be in Haleiwa from December to February maybe longer - looking to do some sport routes with anyone interested. Been climbing since 2015 but much seriously in the last few years. Open to following / cleaning trad too. Let me know, I love to surf also when I'm not climbing!",2,New Jersey,Nov 2019,Points: 0,4.452830188679245
121613040,"Mar 18, 2022",TJHussey,"Hi Corey, what are the odds you're still on Oahu? My trip is the last week of this month (March '22)...",0,"Winterport, ME",Sep 2014,Points: 687,3.9523809523809526
121613040,"Mar 19, 2022",Corey Wademan,Hey sorry TJ I'm not I left beginning of March but I'll be back next year if you're there,0,New Jersey,Nov 2019,Points: 0,3.736842105263158
121613040,"Mar 23, 2022",RACE TUOMISTO-BELL,"TJHussey    wrote:Hi Corey, what are the odds you're still on Oahu? My trip is the last week of this month (March '22)...I’ll be available hit me up if you still need a partner",0,"Phoenix, AZ",May 2019,Points: 10,4.2727272727272725
121806013,"Dec 24, 2021",rachit singhvi,"Hello,Been climbing about 2 years and can comfortably lead anything upto an 11 on sport. Looking to do some fun and pretty climbs in Maui (25-26th) and then Oahu (27-29th).hit me up at 3128825384",1,"Urbana, IL",Dec 2020,Points: 0,4.764705882352941
121106817,"Aug 3, 2021",Eric Neal,"Been climbing for a decade or so.  Miss long granite trad routes but I’m out of climbing shape anyway.  Have a rack and a rope and happy to belay projects, SUP explore some DWS routes, and would really like to place some gear.  That said, happy to share knowledge on the island and meet local partners whatever your experience. Live windward.  If you see me soloing the easy stuff at makapuu say hi.  My rack’s in the car.  40 year old Male FYI. Don’t care who you are.  Aloha.",0,"Jamaica Plain, MA",Mar 2012,Points: 0,4.292134831460674
121106817,"Dec 16, 2021",Alex Pistorio,"On kauai, if your interested. Out of shape as well, looking to get back into it. ",0,Unknown Hometown,Dec 2021,Points: 0,4.0625
121106817,"Dec 16, 2021",Casey McCoy,I’m up for some easy sport routes!,0,Unknown Hometown,Nov 2020,Points: 5,4.0
121106817,"Dec 17, 2021",Elliot Weiss,"My wife and I may be on the island for a week late February. I’m very interested in meeting up to climb. Sport, trad, DWS, all sounds fun. Can fly with rope/rack if needed.",0,"San Diego, CA",Apr 2016,Points: 153,4.088235294117647
121106817,"Dec 20, 2021",Carmelina Ann,"Hi Eric. Will be on-island Dec 31- Jan 26th and would love to climb. I’m staying in McCully. I’m a solid lead belayer & will follow anything, but I can only lead up to 5.8 sport. I’m also looking for a belay partner at HiClimb if you happen to go there! ",0,Unknown Hometown,Jul 2020,Points: 0,3.980392156862745
121106817,"Dec 20, 2021",Carmelina Ann,"Hi Eric. Will be on-island Dec 31- Jan 26th and would love to climb. I’m staying in McCully. I’m a solid lead belayer but & when follow anything, but I can only lead up to 5.8 sport. I’m also looking for a belay partner at HiClimb if you happen to go there! ",0,Unknown Hometown,Jul 2020,Points: 0,3.9615384615384617
120989484,"Jul 8, 2021",Todd Berlier,on vaca there at the end of june and saw a roadside cliff about 20 feet high by 80 feet wide; 20 to 45 degrees overhung. gorgeous area and rock. obvious obstacles are getting pads to this place and relative inhospitality to tourists possible on molokai.tried to contact area admin with no response.thought i throw it out there.  if some motivated boulderer finds this i can give more details.toddedited for spelling and grammer,3,"Sacramento, CA",Feb 2018,Points: 528,4.8493150684931505
120989484,"Dec 8, 2021",Joey Bacon,Hey Todd! I think I climbed here one day! Did two really fun problems without pads but with a flat landing. Is this it?https://www.mountainproject.com/photo/117087821,1,"Rancho Palos Verdes, CA",Oct 2016,Points: 30,5.958333333333333
120989484,"Dec 8, 2021",Todd Berlier,Joey Bacon    wrote:Hey Todd! I think I climbed here one day! Did two really fun problems without pads but with a flat landing. Is this it?https://www.mountainproject.com/photo/117087821yes! thats it! holy shit. i couldn't imagine i was the first person to see this. i stood under this thing for a half an hour looking at all the possibilities.i would love to get a small crew with pads there!,0,"Sacramento, CA",Feb 2018,Points: 528,4.924242424242424
120989484,"Dec 8, 2021",Todd Berlier,Joey Bacon    wrote:Hey Todd! I think I climbed here one day! Did two really fun problems without pads but with a flat landing. Is this it?https://www.mountainproject.com/photo/117087821also read the photo caption: so cool to read the tree downclimb worked out! i took the halawa valley guided tour with Greg. if i go back to climb in this cave ill email him and see about if it would be cool or not. we stayed at a rental house two miles from there and there was a boulder on the beach with one really good problem and would be a cool place to stay.,0,"Sacramento, CA",Feb 2018,Points: 528,4.425742574257426
120989484,"Dec 9, 2021",Joey Bacon,"How funny! I doubt I'll get back there anytime soon (or likely, ever). I think it would be pretty cool if people checked out that little area and Molokai in general for climbing potential. The vibe I got from locals when I visited, though, was that development and tourism were not looked highly upon. ",0,"Rancho Palos Verdes, CA",Oct 2016,Points: 30,4.592592592592593
119964720,"Nov 23, 2020",Tim G,virtual vibe palace fellas.  start grippin and start rippin,3,"Keene, NH",Aug 2018,Points: 586,5.555555555555555
119964720,"Nov 23, 2020",David A,"I know it snows up there, but are you suggesting there is waterfall ice up there??",1,"Gardnerville, NV",Oct 2008,Points: 405,4.1875
119964720,"Nov 23, 2020",Kanyon Lalley,I thought I saw some flows up there but that might have just been the shroom stomach.Also last time I hit the laramie t bell drive through the guy gave me a certificate for a free combo meal,6,"Spearfish, SD",Jul 2015,Points: 20,4.026315789473684
119964720,"Nov 23, 2020",Jacob Bretz,,2,"Missoula, MT",Mar 2017,Points: 45,
119964720,"Nov 23, 2020",Tim G,"fuck what does a free combo meal entail haasarito? Im about to hit t-bell and lemme tell you, i haven't been this hungry since my cid stomach a week ago. phew",1,"Keene, NH",Aug 2018,Points: 586,4.129032258064516
119964720,"Nov 23, 2020",Kanyon Lalley,"Dog I got two chicken chaylooper supremes, a beef tawkoh, and a grande (large) baja blast for zero dollars and zero cents.",3,"Spearfish, SD",Jul 2015,Points: 20,4.590909090909091
119964720,"Nov 23, 2020",Tim G,"jacob you made it. also k-dawg, how do i get a certificate?",4,"Keene, NH",Aug 2018,Points: 586,4.0
119964720,"Nov 23, 2020",Kanyon Lalley,You guys got on Kokanee??? I asked the guy who was running the drive thru how his day was going.,2,"Spearfish, SD",Jul 2015,Points: 20,3.85
119964720,"Nov 23, 2020",David A,I am thoroughly confused by this thread   ,12,"Gardnerville, NV",Oct 2008,Points: 405,4.714285714285714
119964720,"Nov 23, 2020",Dustin Helmer,David A    wrote:I am thoroughly confused by this thread   drugs...good drugs,5,"Tucson, AZ",Feb 2015,Points: 32,5.636363636363637
119964720,"Nov 23, 2020",Micah Ted,To sesh you just gotta envibe in the vibes that is the virtual vibe palace.Also Seshed 3 CBR's today with chipotle sauce. Lower CPD but elevated DPD.,1,Durango,Sep 2017,Points: 120,4.555555555555555
119964720,"Nov 23, 2020",Jacob Bretz,"Yo you guys gotta check out this casserole my mom made, ingredients:-elbow macaroni-ground beef-cheddar cheese-ketchupand that’s all she wrote folks. CPD is unbeatable",10,"Missoula, MT",Mar 2017,Points: 45,6.304347826086956
119964720,"Nov 25, 2020",Micah Ted,Man I could go for a whippit.,3,Durango,Sep 2017,Points: 120,3.2857142857142856
119964720,"Nov 25, 2020",Jacob Bretz,Micah Ted    wrote:Man I could go for a whippit.Now that's a positive CPD,0,"Missoula, MT",Mar 2017,Points: 45,4.461538461538462
119964720,"Nov 25, 2020",Tim G,"miss haasin with you fellas, you better be seshin hooard this thanksgivin",1,"Keene, NH",Aug 2018,Points: 586,5.166666666666667
119964720,"Nov 25, 2020",Glowering,  warm day on the ice ,7,Unknown Hometown,Oct 2011,Points: 16,3.0
119964720,"Nov 26, 2020",Kanyon Lalley,Merry Thanksgiving ya chummies,1,"Spearfish, SD",Jul 2015,Points: 20,6.75
119964720,"Dec 6, 2020",Madeline Smith,I’m just going to say what everyone’s been thinking : super crack is meant to be lay-backed. Thank you to Micah for being a true pioneer and doing it with the cleanest ethic ,3,"Salt Lake City, UT",Aug 2019,Points: 0,4.2727272727272725
119964720,"Dec 7, 2020",Micah Ted,Goody Style ,5,Durango,Sep 2017,Points: 120,5.0
119964720,"Dec 7, 2020",Taylor Hennum,now that is goody style my brother,0,Unknown Hometown,Jun 2019,Points: 0,4.0
119964720,"Dec 7, 2020",Taylor Hennum,Micah Ted    wrote:Man I could go for a whippit.could go for another sesh in evdawgs van,1,Unknown Hometown,Jun 2019,Points: 0,4.375
119964720,"Dec 7, 2020",W K,E,3,Unknown Hometown,Jun 2018,Points: 167,1.0
119964720,"Dec 9, 2020",Micah Ted,Lets play a Natty Trez drinking game in EVDawgs Van,0,Durango,Sep 2017,Points: 120,4.2
119964720,"Dec 11, 2020",Tim G,everybody needs to watch the first two national treasures right now; in order to prepare for the third one coming out next year,2,"Keene, NH",Aug 2018,Points: 586,4.565217391304348
119964720,"Dec 11, 2020",Tim G,https://photos.app.goo.gl/cGrHf5yvhYUQReYSAHere is a link to all the photos from this fall I have; this goes way back but it has all the creek seshes too.  Feel free to add photos to it bc i would love to see that pic of all of us on looking glass rock that night. cant remember who took it,3,"Keene, NH",Aug 2018,Points: 586,4.2727272727272725
119964720,"Dec 11, 2020",Dustin Helmer,Tim G    wrote:https://photos.app.goo.gl/cGrHf5yvhYUQReYSAHere is a link to all the photos from this fall I have; this goes way back but it has all the creek seshes too.  Feel free to add photos to it bc i would love to see that pic of all of us on looking glass rock that night. cant remember who took itThan you for this,2,"Tucson, AZ",Feb 2015,Points: 32,4.316666666666666
119964720,"Dec 12, 2020",Kanyon Lalley,Taylor Hennum    wrote: could go for another sesh in evdawgs vanI'll bring the pub beer you bring the marble cake,0,"Spearfish, SD",Jul 2015,Points: 20,4.55
119964720,"Dec 14, 2020",Jacob Bretz,"beautiful pics Tim, can't wait to crush Natural Saturdays with you doggies again",0,"Missoula, MT",Mar 2017,Points: 45,5.230769230769231
119964720,"Dec 14, 2020",Jacob Bretz,WHERE MY DOGS AT?,1,"Missoula, MT",Mar 2017,Points: 45,3.5
119964720,"Dec 14, 2020",Tim G,"hoo hoo hoo hooright here dawg, rippin burps and farts for maddy",2,"Keene, NH",Aug 2018,Points: 586,4.416666666666667
